numero_documento,nombre,apellido,numero_telefono,email,calle,ciudad,provincia
"3060905,Sofía,Díaz,+54 9 11 6483-1253,sofiadiaz@gmail.com,Calle San Martín 456,La Plata,Bs As
"3525659,Carlos,Fernández,+54 9 11 7063-4933,carlosfernandez@gmail.com,Av. Corrientes 789,NULL,CABA
"3054482,Juan,Rodríguez,+54 9 11 8915-1336,juanrodriguez@gmail.com,Calle Belgrano 789,Tigre,Bs As
"3729471,Juan,López,+54 9 11 8823-9862,juanlopez@gmail.com,Av. Rivadavia 1234,NULL,CABA
"3692215,Agustín,Pérez,+54 9 11 9946-8094,agustinperez@gmail.com,Av. Rivadavia 1234,NULL,CABA
"3900283,Sofía,Petrone,+54 9 11 7889-4637,sofiapetrone@gmail.com,Calle San Martín 456,La Plata,Bs As
"3512460,Sofía,López,+54 9 11 9373-6165,sofialopez@gmail.com,Av. Libertador 678,Vicente López,Bs As
"3482465,María,González,+54 9 11 7889-9843,mariagonzalez@gmail.com,Calle Belgrano 789,Tigre,Bs As
"3532859,Valentina,Sánchez,+54 9 11 6816-9191,valentinasanchez@gmail.com,Av. Corrientes 789,NULL,CABA
"3113435,Camila,Pérez,+54 9 11 8700-3431,camilaperez@gmail.com,Calle San Martín 456,La Plata,Bs As
"3169499,Carlina,Martínez,+54 9 11 9516-2380,gatitomiau@gmail.com,Calle Belgrano 789,Tigre,Bs As
"3343921,Kenneth,López,+54 9 11 6575-9893,klopez@gmail.com,Av. Santa Fe 2345,NULL,CABA
"3740174,Joaquín,Sánchez,+54 9 11 8028-6337,joaquinsanchez@gmail.com,Calle Florida 567,NULL,CABA
"3891528,Martín,Gandolfi,+54 9 11 8998-3329,marting@gmail.com,Calle Sarmiento 4567,NULL,CABA
"3362974,Joaquín,Rodríguez,+54 9 11 9963-2560,joaquinrodriguez@gmail.com,Av. Libertador 678,Vicente López,Bs As
"3006489,Camila,Sánchez,+54 9 11 7215-9255,camilasanchez@gmail.com,Calle Belgrano 789,Tigre,Bs As
"3869423,Carlos,Gómez,+54 9 11 6743-2657,carlosgomez@gmail.com,Calle Maipú 234,San Isidro,Bs As
"3105114,Carlos,Pérez,+54 9 11 9242-9992,carlosperez@gmail.com,Calle San Martín 456,La Plata,Bs As
"3240479,Valentina,Rodríguez,+54 9 11 6815-2766,valentinarodriguez@gmail.com,Av. Rivadavia 1234,NULL,CABA
"3188444,Sofía,Fernández,+54 9 11 8445-5459,sofiafernandez@gmail.com,Calle San Martín 456,La Plata,Bs As
"3752609,Martín,Gómez,+54 9 11 7717-3356,martingomez@gmail.com,Calle San Martín 456,La Plata,Bs As
"3372242,Martín,Fiore,+54 9 11 9234-1860,martinfiore@gmail.com,Av. Santa Fe 2345,NULL,CABA
"3661731,Martín,Díaz,+54 9 11 6463-7721,martindiaz@gmail.com,Av. Rivadavia 1234,NULL,CABA
"3028877,Valentina,Martínez,+54 9 11 7512-2616,valentinamartinez@gmail.com,Av. Rivadavia 1234,NULL,CABA
