numero_documento,codigo_producto
3853869,284207
3414295,502378
3054482,748329
3747449,991832
3840339,336783
3900283,264891
3071095,224730
3618401,338795
3313536,676057
3098605,757476
3414295,502378
3692215,224730
3184424,881141
3661731,748329
3188444,949271
3483317,991832
3113435,750866
3372242,949271
3113435,980050
3517827,112849
3900283,969080
3891528,815590
3891528,484678
3692215,502378
3740174,943697
3482465,980050
3143768,247315
3342776,823487
3769891,627794
3362974,707464
3692215,676057
3769891,184464
3740174,409541
3482465,402644
3740174,735724
3840339,173848
3028877,823487
3579176,284207
3525659,891931
3054482,163801
3661731,508349
3071095,293165
3483317,192161
3071095,213385
3105114,410180
3071095,572437
3342776,857726
3414295,247315
3857266,726393
3265122,750866
3483317,642234
3869423,778566
3380781,495265
3752609,278861
3172868,112849
3579176,722751
3188444,823487
3729471,366858
3105114,627794
3525659,770629
3729471,366858
3752609,137051
3265122,212204
3071095,735724
3849992,969080
3098605,470493
3661731,722751
3517827,676057
3060905,886398
3172868,247315
3172868,986676
3060905,337092
3512460,665071
3869423,909330
3233977,722751
3060905,609752
3342776,642234
3006489,832848
3359633,360187
3431051,278861
3313536,748329
3113435,815590
3265122,495265
3769891,665071
3517827,991832
3900283,857726
3028877,972979
3380781,726843
3006489,478200
3740174,991832
3849992,788512
3342776,117108
3769891,184464
3169499,847044
3060905,137051
3342776,293165
3900283,112849
3098605,247315
3431051,483663
3054482,337092
3431051,123451
3143768,627794
3869423,972979
3113435,408074
3482465,387075
3857266,508349
3060905,881141
3536530,360187
3857266,823487
3752609,224730
3071095,278861
3184424,909330
3006489,278861
3692215,123451
3265122,919686
3233977,338795
3869423,781170
3857266,846391
3414295,484678
3372242,405666
3482465,832848
3414295,857726
3752609,387075
3098605,676057
3372242,284207
3060905,909330
3517827,470493
3482465,112849
3692215,117108
3054482,158645
3113435,163801
3060905,969080
3006489,494079
3431051,891931
3105114,387075
3517827,416483
3362974,991832
3342776,735724
3343921,788512
3517827,278861
3113435,338795
3359633,735724
3184424,137051
3240479,387075
3769891,158645
3233977,735724
3840339,943697
3900283,484678
3532859,508349
3113435,494079
3579176,484678
3060905,972979
3482465,284207
3532859,380388
3240479,402644
3853869,402644
3536530,478200
3060905,986676
3853869,360187
3482465,726393
3857266,341914
3840339,991832
3769891,735724
3006489,504278
3747449,991832
3113435,770629
3752609,707464
3105114,483663
3512460,264891
3517827,341914
3372242,123451
3431051,891931
3618401,402644
3184424,478200
3359633,278861
3362974,293165
3105114,757476
3512460,293165
3579176,757476
3143768,182080
3380781,821898
3169499,693020
3060905,676057
3060905,757476
3265122,494079
3113435,502378
3359633,980050
3740174,629028
3028877,726393
3697200,184464
3233977,508349
3697200,123451
3265122,909330
3752609,750866
3482465,186173
3105114,726843
3869423,750866
3184424,363125
3752609,363125
3342776,327799
