"nombre","apellido","total_gastado"
"Carlina","Martínez","109070.69"
"Martín","Gómez","48030.32"
"Lucía","Fernández","17714.07"
"Martín","García","99132.07"
"Sofía","Rodríguez","79203.82"
"Juan","Martínez","54692.35"
"Carlos","Gómez","68582.11"
"Juan","Pérez","48081.73"
"Martín","Fiore","40590.47"
"Martín","Díaz","74593.39"
"Sofía","Díaz","89672.10"
"Camila","Sánchez","112892.49"
"Joaquín","López","127191.76"
"Sofía","López","11466.55"
"Candela","Castillo","45637.14"
"Carlos","Pérez","52736.73"
"Carlos","Rodríguez","38888.21"
"Sofía","Sánchez","77004.46"
"María","Sánchez","87588.38"
"Zoe","Gómez","54765.06"
"Agustín","Sánchez","39941.14"
"Sofía","Petrone","45843.22"
"Valentina","Rodríguez","30381.92"
"Camila","González","8253.86"
"Valentina","Gómez","81222.98"
"Sofía","Gómez","5414.28"
"Manuela","Pazos","24616.97"
"Sofía","Fernández","49716.95"
"Camila","Martínez","26436.38"
"Juan","Rodríguez","77359.03"
"Valentina","Martínez","104944.21"
"Joaquín","Sánchez","33722.11"
"Valentina","Sánchez","12097.10"
"Camila","García","91764.18"
"Agustín","Díaz","27280.52"
"Agustín","González","49975.28"
"Camila","Pérez","83691.72"
"Juan","López","63110.18"
"Joaquín","Rodríguez","16008.44"
"Kenneth","López","40186.83"
"Carlos","Fernández","66630.07"
"Carlos","García","46744.36"
"Juan","Díaz","104172.43"
"Martín","González","45091.94"
"María","González","33497.87"
"Carlos","Díaz","63577.13"
"Lucía","García","124632.48"
"Agustín","Pérez","135610.02"
